Portfolio,Entity,Item,Type,Departmental Operating $'000,Departmental Non-operating $'000,Departmental External Revenue $'000,Departmental Special Appropriation $'000,Special Accounts $'000,Administered Operating $'000,Administered SPPs $'000,Administered Non-operating $'000,Administered Special Appropriation $'000,Total $'000
"AGRICULTURE, FISHERIES AND FORESTRY",Grains Research and Development Corporation*,Total,Estimated Actual,0,0,386349,0,0,0,0,0,0,386349
"AGRICULTURE, FISHERIES AND FORESTRY",Regional Investment Corporation*,Outcome 1,Agency Resourcing,22586,0,0,0,0,0,0,0,0,22586
"AGRICULTURE, FISHERIES AND FORESTRY",Regional Investment Corporation*,Outcome 1,Estimated Actual,22063,0,0,0,0,0,0,0,0,22063
"AGRICULTURE, FISHERIES AND FORESTRY",Regional Investment Corporation*,Total,Agency Resourcing,22586,0,0,0,0,0,0,0,0,22586
"AGRICULTURE, FISHERIES AND FORESTRY",Regional Investment Corporation*,Total,Estimated Actual,22063,0,0,0,0,0,0,0,0,22063
"AGRICULTURE, FISHERIES AND FORESTRY",Rural Industries Research and Development Corporation*,Outcome 1,Agency Resourcing,0,0,54753,0,0,0,0,0,0,54753
"AGRICULTURE, FISHERIES AND FORESTRY",Rural Industries Research and Development Corporation*,Outcome 1,Estimated Actual,0,0,61532,0,0,0,0,0,0,61532
"AGRICULTURE, FISHERIES AND FORESTRY",Rural Industries Research and Development Corporation*,Total,Agency Resourcing,0,0,54753,0,0,0,0,0,0,54753
"AGRICULTURE, FISHERIES AND FORESTRY",Rural Industries Research and Development Corporation*,Total,Estimated Actual,0,0,61532,0,0,0,0,0,0,61532
"AGRICULTURE, FISHERIES AND FORESTRY",Wine Australia*,Outcome 1,Agency Resourcing,0,0,32698,0,0,0,0,0,0,32698
"AGRICULTURE, FISHERIES AND FORESTRY",Wine Australia*,Outcome 1,Estimated Actual,0,0,43414,0,0,0,0,0,0,43414
"AGRICULTURE, FISHERIES AND FORESTRY",Wine Australia*,Total,Agency Resourcing,0,0,32698,0,0,0,0,0,0,32698
"AGRICULTURE, FISHERIES AND FORESTRY",Wine Australia*,Total,Estimated Actual,0,0,43414,0,0,0,0,0,0,43414
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Fisheries Management Authority,Outcome 1,Agency Resourcing,32444,0,0,0,19667,6265,0,0,0,58376
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Fisheries Management Authority,Outcome 1,Estimated Actual,31439,0,0,0,18146,6031,0,0,0,55616
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Fisheries Management Authority,Total,Agency Resourcing,32444,0,0,0,19667,6265,0,0,0,58376
"AGRICULTURE, FISHERIES AND FORESTRY",Australian Fisheries Management Authority,Total,Estimated Actual,31439,0,0,0,18146,6031,0,0,0,55616
"AGRICULTURE, FISHERIES AND FORESTRY",,PORTFOLIO TOTAL,Agency Resourcing,901584,46116,514659,0,701380,245814,0,237214,1086917,3733684
"AGRICULTURE, FISHERIES AND FORESTRY",,PORTFOLIO TOTAL,Estimated Actual,845090,57507,683842,0,654286,249139,0,218214,1161198,3869276
ATTORNEY-GENERAL'S,Attorney-General's Department,Outcome 1,Agency Resourcing,325977,0,202131,0,29568,411948,0,0,330,969954
ATTORNEY-GENERAL'S,Attorney-General's Department,Outcome 1,Estimated Actual,295039,0,186064,0,48790,487365,0,0,980,1018238
ATTORNEY-GENERAL'S,Attorney-General's Department,Equity Injections,Agency Resourcing,0,3166,0,0,0,0,0,0,0,3166
ATTORNEY-GENERAL'S,Attorney-General's Department,Equity Injections,Estimated Actual,0,5163,0,0,0,0,0,0,0,5163
ATTORNEY-GENERAL'S,Attorney-General's Department,Administered Assets and Liabilities,Agency Resourcing,0,0,0,0,0,0,0,0,0,0
ATTORNEY-GENERAL'S,Attorney-General's Department,Administered Assets and Liabilities,Estimated Actual,0,0,0,0,0,0,0,1356,0,1356
ATTORNEY-GENERAL'S,Attorney-General's Department,Total,Agency Resourcing,325977,3166,202131,0,29568,411948,0,0,330,973120
ATTORNEY-GENERAL'S,Attorney-General's Department,Total,Estimated Actual,295039,5163,186064,0,48790,487365,0,1356,980,1024757
ATTORNEY-GENERAL'S,Australian Human Rights Commission*,Outcome 1,Agency Resourcing,32129,0,9547,0,0,0,0,0,0,41676
ATTORNEY-GENERAL'S,Australian Human Rights Commission*,Outcome 1,Estimated Actual,31315,0,10377,0,0,0,0,0,0,41692
ATTORNEY-GENERAL'S,Australian Human Rights Commission*,Total,Agency Resourcing,32129,0,9547,0,0,0,0,0,0,41676
ATTORNEY-GENERAL'S,Australian Human Rights Commission*,Total,Estimated Actual,31315,0,10377,0,0,0,0,0,0,41692
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Outcome 1,Agency Resourcing,262163,0,250,0,0,0,0,0,7500,269913
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Outcome 1,Estimated Actual,226735,0,250,0,0,0,0,0,7500,234485
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Equity Injections,Agency Resourcing,0,2316,0,0,0,0,0,0,0,2316
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Equity Injections,Estimated Actual,0,3135,0,0,0,0,0,0,0,3135
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Total,Agency Resourcing,262163,2316,250,0,0,0,0,0,7500,272229
ATTORNEY-GENERAL'S,Administrative Appeals Tribunal,Total,Estimated Actual,226735,3135,250,0,0,0,0,0,7500,237620
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Outcome 1,Agency Resourcing,148318,0,4610,0,147719,0,0,0,0,300647
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Outcome 1,Estimated Actual,149680,0,11728,0,142630,0,0,0,0,304038
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Equity Injections,Agency Resourcing,0,23606,0,0,0,0,0,0,0,23606
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Equity Injections,Estimated Actual,0,4230,0,0,0,0,0,0,0,4230
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Total,Agency Resourcing,148318,23606,4610,0,147719,0,0,0,0,324253
ATTORNEY-GENERAL'S,Australian Criminal Intelligence Commission,Total,Estimated Actual,149680,4230,11728,0,142630,0,0,0,0,308268
